dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t16,mB13,p32768,ms160,ms120,ms30,t3,kB100,p1024,ms100,ms80,ms60,1134fc8f1bc10774e0cb363c9a9d9886701ccd8cbb9bb36bc2831510cdb4fce2
t6,kB5000,p64,ms50,ms50,ms30,t4,kB1000,p1024,ms100,ms120,ms70,9d5e5415324065f21a907acfd7813f1f234461ebc98497b91a0f1e0111c6bdbe
t4,kB3000,p16,ms30,ms190,ms100,t6,kB1500,p16,ms100,ms120,ms20,bc9901c5133b48f4e4b3eeeec331929092451b81463a9e0cfd0c39ec038ab0cf
t16,kB7000,p2048,ms40,ms60,ms15,t4,kB1500,p128,ms120,ms140,ms25,60de6ae0f85c58f80f8baefaf27255eaf4565a4d96252c96a7a542c979c8d127
t32,mB8,p256,ms160,ms180,ms170,t4,kB4500,p128,ms10,ms80,ms130,eaee8b9c163da9e48a16c4eb2bbac76c14ef1603c4c974882dd045b65bafad0a
t32,kB375,p256,ms100,ms500,ms60,t32,kB1000,p512,ms220,ms70,ms150,c2dbfb974a23f4908a73a90a8c61c84a730683380ae76524c0eebfe3c9f602ac
t2,kB750,p16,ms800,ms30,ms200,t4,kB5500,p128,ms140,ms190,ms90,beea8c0046712fc4636e2004b059135e67100ac1aa20538a6fd06f2dbe007fc1
t3,kB1500,p16,ms220,ms100,ms160,t32,mB11,p32,ms100,ms800,ms80,cbb41d7c8096cebcbd24f1103b3b459ad5ad517a6378680bbf1263383841ab01
t3,kB15,p24576,ms1000,ms130,ms190,t16,mB11,p40960,ms400,ms150,ms40,ac07a30ecf95e02fc917baafb1cbaf31c892d288a998562f38fec9f3e4e64984
t3,kB375,p16,ms70,ms500,ms45,t6,mB30,p4096,ms70,ms70,ms170,c13f117f08e1a3ead1880bb4326b55b9977e0d45061cfe4137e834e1b9e9f5f6
t4,kB7500,p128,ms2000,ms180,ms120,t3,kB1250,p4096,ms130,ms150,ms80,7e6d4c1668d1e0619c8b6e7cfdee525862b2ce894fd399db6e22632589e57e27
t4,mB16,p2048,ms120,ms1200,ms160,t32,mB8,p57344,ms50,ms1000,ms90,f3670b3b6132c94ef8d3a66fe8f17c22ba2ecfff87078c65a8ced664a5a03ce1
t8,kB4500,p12288,ms90,ms40,ms55,t32,kB100,p16,ms210,ms130,ms60,5619b872b90194820940cb3f1c7f77e29b2ac7d2e5196aa054efdbe606db9500
t6,mB10,p49152,ms50,ms180,ms100,t32,kB7000,p57344,ms110,ms800,ms190,60376df5ff03ef5700c3e8623207efe216d5c23377559858470b6a9b978f4be4
t2,kB375,p128,ms220,ms1000,ms70,t3,kB6000,p32,ms20,ms20,ms160,5485245dc080d9abcf1913e9a8c2a2d16b9cb6e55de4a9df84729913804a9b54
