dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t32,kB500,p28672,ms2000,ms110,ms75,t16,mB16,p57344,ms2000,ms190,ms65,32700c9d490b8432f18d1f55bbaa375cbcbac687e52be0d78bec51353ff402cb
t32,mB30,p16,ms130,ms450,ms160,t2,kB3000,p1024,ms4000,ms2400,ms30,128c89b5d38b9bfa10b2b04336059162bb36959dd09a9b2fb26a383f3f8b1124
t32,kB8,p28672,ms120,ms170,ms95,t8,mB16,p16,ms90,ms100,ms170,329b6eab633228246a8be9d206d42a0b629254992641181152a58113064a5a97
t32,kB7000,p12288,ms230,ms1200,ms45,t32,mB12,p49152,ms130,ms180,ms65,844c0e02482ed453fbc54fdbb996e6655cc90feeeff2b7bea73403af57af45e7
t4,mB14,p32,ms80,ms1200,ms70,t3,kB6500,p128,ms140,ms120,ms160,d35295c6c7180a3bdb49a9126ccc03f64e391dc973a7063415dac792d24a87cf
t6,kB1000,p32,ms20,ms190,ms85,t2,mB40,p128,ms250,ms170,ms25,3d80ded699e45bf2b063134199edda2162e9e7c483754d5302fa2e1299c91e10
t6,kB25,p32,ms60,ms500,ms100,t8,mB16,p28672,ms150,ms180,ms50,80352874c121defc418fe64acdc68b6bea7b7ad6304e084b2e6d3e88ee7206f0
t2,mB11,p128,ms120,ms800,ms150,t16,mB14,p16384,ms190,ms200,ms5,0da06ee61cf7901c96bb7d0787f37682fa5af6791136579e707093da5775fae1
t2,kB5000,p28672,ms90,ms80,ms75,t8,mB25,p8,ms60,ms160,ms40,a1df7273663c0d08cb70c3c128986d72553fe149c13ca0d8f5a0b8f381c64fb0
t3,kB7000,p57344,ms220,ms500,ms140,t4,kB25,p8192,ms130,ms2400,ms160,420db22c9753db736f706dd076afe5b43d241e54c2e5f349b80ca8ef974d7581
