dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t16,kB8,p32,ms200,ms150,ms170,t32,kB1000,p32,ms500,ms40,ms40,4cda155138a900e69eb76b2521fff927fabddde25c921f34fe7aec610b9d78e4
t8,kB100,p32,ms2000,ms800,ms170,t4,mB8,p40960,ms150,ms80,ms170,8964f5a3234ddc341ae22beba3e7599ae71727043ad637080d087b1dc68eeac4
t16,kB100,p8192,ms250,ms20,ms200,t2,kB500,p32,ms800,ms20,ms100,744efbf6766cc3bc6be627f2fd7207171ecaa9b5aba44fa32cd523d6acc82774
t16,kB25,p8192,ms50,ms500,ms200,t8,mB20,p65536,ms800,ms800,ms20,a2b6ab671268d573443a7077524592f203ab19edb97358fa40c3a48ef063458b
t4,mB25,p49152,ms250,ms20,ms180,t8,mB30,p32,ms400,ms1200,ms100,8aa35f37b29554c53ffa1bb4049e2219cf2918fb01b39721373acb8ad509b40a
t4,kB500,p512,ms350,ms200,ms120,t8,mB40,p40960,ms400,ms1200,ms170,85c8b49d7349f3052ee6e7b290f42cde6a9fd3fb0e0b25cb685eabb6388c90f0
t3,mB20,p32,ms50,ms200,ms160,t2,kB500,p49152,ms250,ms20,ms60,5301a9b26f64f43f395ad13d18731ab069a3a6c91cf0b3c53f58cb4297a6dcc6
t8,kB6000,p512,ms350,ms500,ms170,t6,mB16,p49152,ms1000,ms20,ms5,c329654260fe7dfac348377038804eeb5ad5b0b10e84caf068b27c79b8160304
t8,kB6000,p512,ms4000,ms100,ms80,t2,kB25,p49152,ms1000,ms2400,ms160,94957676fcc3e7adfec73d950cf7443d12553c77e1921746eab78d8000b9af2b
t32,kB6000,p49152,ms4000,ms150,ms80,t6,kB25,p128,ms250,ms500,ms160,8536576b5e52e4151963e2f6ab28985e394b7d55b3024b9adeedcbd4ae5911a3
t32,kB6000,p128,ms4000,ms60,ms60,t4,kB25,p40960,ms2000,ms200,ms5,efa881f579c6ebe21d37142b519a18cafd806c356c2db1be2c2ac13ecfae9ba9
t3,mB16,p16,ms4000,ms200,ms60,t32,kB25,p512,ms2000,ms60,ms20,960bcb848b04df1da38c0f59c2f0829345c3982a0def3f718f70fef46ae97d62
t2,mB30,p16384,ms400,ms150,ms10,t2,kB25,p128,ms300,ms60,ms20,1b58c120391f7f95740a1883dff76b2a40167150ae22ca9cc24291f3634c6d85
t2,kB100,p65536,ms150,ms500,ms20,t32,kB25,p128,ms2000,ms100,ms5,2c195b9e8959378e05aba3ade639dd926cc655e043d0c89a185d37bf314596f9
t4,kB100,p57344,ms250,ms500,ms20,t4,mB40,p512,ms200,ms150,ms180,fea55e54f39021a2fe56558e06980462d40e5797ea80cb517a6f4e892b43cd87
t4,kB500,p32,ms1000,ms500,ms40,t4,mB40,p32768,ms350,ms300,ms180,b16e34d9cda98d5780a44018cdca6e5d707e93acae3b9fc5be0b5f83edd7bbeb
t4,kB100,p16384,ms350,ms20,ms20,t4,kB1000,p65536,ms4000,ms300,ms20,57eece118881216fa2c4b4b6696fd5d9951d41c1305f4cca8f46d5c9aacd3703
t4,kB6000,p32768,ms1000,ms1200,ms170,t32,mB40,p65536,ms350,ms1200,ms170,1024ff8a5af012777936079e894185e26c6b4db96967cc132202e01e7adfde01
t3,mB25,p40960,ms800,ms100,ms40,t3,mB20,p128,ms2000,ms40,ms10,c671b317eea48e2d00aa16b524873d7b1e5577103acc312f806d692ef9e0839c
t6,kB6000,p512,ms4000,ms150,ms140,t6,mB20,p4096,ms50,ms1200,ms180,1f16f56158ce2d0681115ce57fa9d55a34102994f08f733a7f73bdc5c70f4b19
t16,kB6000,p40960,ms350,ms150,ms60,t16,mB30,p32768,ms2000,ms100,ms20,30b9261e702183ded655bcdb42aff8919be993d7c486005b51b825d4242daab4
t16,kB8,p4096,ms350,ms2000,ms5,t6,kB6000,p128,ms350,ms1200,ms160,75df2c1ce739aa9f29f594e123de75d3a79891e5126367f330781a151f15b80e
t16,kB1000,p16,ms300,ms20,ms200,t4,mB16,p40960,ms2000,ms20,ms10,16813e093de7d3dd6ec2d872c44ed35d6daee182e4873aeb00f65f8d98b003cd
t6,mB16,p16384,ms1000,ms2000,ms10,t16,kB6000,p8192,ms250,ms500,ms180,71a1b54931fc43fc5920b70c2d0484bad5dc8af80e2eb09716fe58305d74312e
t32,mB25,p512,ms200,ms150,ms60,t4,mB8,p16384,ms250,ms200,ms160,0061c127153faafa8598a31a4672e127a3a2b21961e82e82758a047662be696b
t4,kB6000,p4096,ms50,ms150,ms100,t16,mB30,p4096,ms400,ms80,ms100,435ce080b063deba63ad03968f8b5ee0988d5c1281e712fe4eac40543a2be817
t4,kB1000,p4096,ms2000,ms20,ms60,t16,mB20,p128,ms1000,ms2000,ms80,224c0f331e4177ab9e28760f1d29c93203a40c4e768121b5ba7400c6f5b7c5a4
t32,mB40,p65536,ms150,ms1200,ms140,t8,mB40,p128,ms800,ms200,ms160,22e8039b25947da057055db8a75bd922bcfd5bfda07363a972632545b405b407
t4,kB1000,p32768,ms350,ms2000,ms5,t6,kB6000,p65536,ms2000,ms2000,ms200,e6d778dbcce88618266b21f4c4812924d22d3ef2f46a69a8ede1bf3369e70cd8
t4,kB1000,p65536,ms200,ms2000,ms40,t4,kB8,p4096,ms500,ms800,ms40,1fadb81e6bcf5944f4d1f0a9d099ca1a8f6fb1c2344bfffbe5cc1413ab3011fa
t16,kB500,p128,ms50,ms200,ms10,t16,mB30,p128,ms800,ms20,ms100,49203548dfb6d2873ed9becd506e1c319f3a3a5bd812fbdac0ed7c05a9317338
t8,kB25,p65536,ms250,ms60,ms10,t4,kB500,p40960,ms500,ms60,ms10,2765e3c65cde80dc02cd194b851fd66971c4674048bf7050d2e914f871859605
t32,mB30,p32,ms50,ms60,ms20,t16,mB40,p16,ms800,ms40,ms80,387b2c6d8a6d823aec0476c7e874dc07461c8088c6a13972c66706e79485c491
t3,kB25,p65536,ms100,ms1200,ms100,t32,kB25,p8192,ms800,ms200,ms180,2e104cb227c264e321255f776b9fa63b94dbbb3a32dea141e16f037287dbcc8f
t3,mB20,p65536,ms350,ms150,ms120,t6,kB100,p49152,ms1000,ms300,ms40,b75e83d96b56822ce2b606bf7e64d2fd93bdcaf7596aedd87832f7d4e1c50bd2
t3,kB100,p32,ms400,ms2000,ms80,t4,mB16,p49152,ms500,ms300,ms200,54ee00db18b115d3ad146d9d6b84032346966a0ce65643e8a6c7756a9b7523e5
t8,kB500,p49152,ms300,ms300,ms120,t6,mB30,p16,ms200,ms100,ms140,9189b54845360ed10cd4f93ec7106cbfe0bb6c2a6f32bea6172f1a9c2deab42d
t16,kB500,p8192,ms250,ms40,ms180,t4,mB25,p128,ms800,ms100,ms60,7b24d390d669099f369ed783083edc2d0b656c7cbdb3f5e36603eee31f21514a
t3,mB8,p40960,ms50,ms2400,ms10,t32,kB100,p512,ms150,ms1200,ms120,68fc7d0e9b7f40e52d34d9abd75f025f7786fa931f72b1ee44bb2c478d91086b
t4,kB500,p32,ms50,ms1200,ms140,t3,mB8,p32768,ms1000,ms200,ms140,1f63a5b56e05e25c24eb6784598b0994339bc5ba2ae58f8a2cb46de558265d91
t2,kB100,p512,ms400,ms150,ms5,t4,mB40,p32768,ms200,ms1200,ms60,8743cb35dc101a1e1e3295b10d6463247d2c617fbb6bd419a3dc81f5363719c1
t3,kB8,p16384,ms50,ms60,ms200,t6,mB16,p8192,ms50,ms800,ms100,7d1f0a97bb2246af74d162559ca4f8f3034e290786e65bac060a18588e38b17b
t3,kB25,p49152,ms500,ms80,ms120,t6,kB25,p8192,ms100,ms200,ms180,71c65ade1acaeeab1f6f21c382c4665f48db617e43c4054c5aea184ebe4e587d
t3,kB1000,p65536,ms350,ms150,ms120,t16,mB20,p40960,ms400,ms200,ms5,69004dc73c9ec856f8159adea77c5e6b72cd2d8bd81fec1400c74867fc7eaade
t8,kB1000,p8192,ms100,ms40,ms160,t4,mB40,p49152,ms500,ms150,ms5,909b3447569da79d6e24e5d10ff66df3fbb34f55204cec2ece8df5e05906b33e
t8,kB8,p49152,ms200,ms800,ms60,t6,kB1000,p4096,ms100,ms800,ms20,ab42e3f579e2ae4b882bbd28c012785d29cb06fa8a3fc02258390a1a2b04aba0
t8,mB20,p8192,ms300,ms300,ms140,t2,mB40,p128,ms4000,ms2000,ms20,c39a394b990ce85b965521f673400a56dcac72bdc777e5759c240804b23f927c
t6,kB8,p40960,ms4000,ms500,ms20,t4,kB1000,p16,ms1000,ms500,ms5,88dfd50de3b949f7c3d443d1d98973401092777b534b096184b9ce7ba080f152
t6,kB6000,p512,ms800,ms80,ms100,t16,kB1000,p128,ms50,ms2400,ms170,d6a28681b64be703d635bf265b2e5144e7085f47d397efbbf4b057841149a761
t32,kB25,p65536,ms350,ms40,ms100,t32,mB25,p32768,ms2000,ms100,ms120,ea0e178ef08021fc38a69479b5d9ec0da90b407a7d6654cd13a3a50dd60eb86c
t8,mB30,p16384,ms800,ms100,ms20,t32,kB100,p32,ms250,ms500,ms40,c73cfe9f0c847402f12983d8fe06aec23f03e3eddd025b4ca2b9c0f328abc80d
t3,kB1000,p128,ms800,ms100,ms80,t2,mB16,p512,ms350,ms100,ms200,511c49afc7b4a64f98e35f5ddce52f7332e4a63654c5db047b22caac4ccc9ce7
