dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t4,mB30,p49152,ms350,ms100,ms170,t3,mB30,p65536,ms1000,ms2400,ms140,e18a21bb0bc91497d5e1e3b908cfa44f589cfea1a934740a0441b3652aa64840
t8,mB20,p32,ms2000,ms2000,ms80,t8,mB30,p32,ms1000,ms40,ms20,11547ca709ea05fc52785bb296fdf6e1fb723d2e85cf3e671af0ec98d3434a50
t16,kB25,p65536,ms400,ms2000,ms80,t16,mB30,p32,ms1000,ms20,ms100,3a7d5c3ade870d5e57efcd341a44eda06d1e2bdc0c5f54e46155f5bc87c82832
t32,kB25,p128,ms150,ms100,ms5,t2,kB100,p4096,ms1000,ms1200,ms100,ea9bc0b1ca0c6af1d307c82eff4e8d7886418924816e381d5270c50402b3b34f
t8,mB20,p16,ms800,ms500,ms20,t6,mB25,p40960,ms1000,ms80,ms180,b29087d70e7aaeac69270a0937242d22ab1a6091eff4718e66c760b9ee7ed301
t2,mB8,p8192,ms4000,ms80,ms5,t6,kB25,p8192,ms100,ms40,ms40,ecd4f861d0f532dedd938d14784673b4179852f1a1891162f3cf84e59dc1684a
t16,kB6000,p65536,ms4000,ms80,ms160,t4,kB25,p4096,ms1000,ms500,ms20,f329da0aa94c80062b301e99cea85d137e8dbce43d42626083153ce0ae0bee6a
t8,kB25,p40960,ms500,ms100,ms200,t4,kB500,p16,ms400,ms150,ms10,7915ba0c3022c4049e7e55b5f729355162b290feeedaff4865cd1695362dd325
t3,mB20,p16384,ms50,ms150,ms20,t4,mB8,p512,ms100,ms80,ms200,2fd06b5ab12f0f9ab488e503bd1c54a93d3ae4b21619d77043f5c74969c322fe
t4,kB6000,p16384,ms100,ms800,ms10,t8,mB20,p128,ms250,ms200,ms100,6f4aca2c8f71532aa16b1c1b6c926143049c42b1414413a4b96ac512c2ad24eb
t3,mB25,p16,ms800,ms2000,ms60,t8,kB500,p32768,ms100,ms200,ms100,fb4b999d88f523fec0718e9d14a5738eb5ce94f64ce062e690ed85b8140ee281
t8,mB25,p16384,ms800,ms2400,ms5,t4,mB8,p16,ms300,ms60,ms5,b5d6c78e1bb5a915ea5160d1ccabb2811c2f3a44b03b1b7d9e09a83611c4ae87
t4,kB6000,p8192,ms800,ms2400,ms5,t8,mB40,p512,ms800,ms800,ms60,c9e6bf72d961a278ed2f332b8f7467ebfc671ee66dbd6411aefb5d0657f3ebf5
t3,mB30,p32,ms150,ms20,ms120,t16,kB1000,p16384,ms500,ms2000,ms140,751e6dcccfb807e15e4dc5c21392820adfa7102801147a5ba1b2ba4d32b8d8a6
t8,mB8,p65536,ms350,ms2000,ms180,t8,kB500,p512,ms4000,ms2000,ms100,78a4d08d0dc8b8da8276c8b0c7f6aa12f47f2642b5f9f81f7041eb752268ef62
t3,mB20,p65536,ms350,ms500,ms60,t32,kB100,p32,ms300,ms200,ms60,ce57b3db86d64ba8466981c36871edf1ff973979c6b88785f9e9cb561aafb989
t3,mB20,p32,ms800,ms60,ms20,t32,kB100,p8192,ms300,ms150,ms5,9b60c558336bd3da1f2546a7635a5e57ff0c4232341a1e15bbcadc41f4c57ed7
t3,mB40,p128,ms200,ms40,ms200,t16,mB40,p16,ms200,ms80,ms140,3e832a85b0e7a8e8291d616fb383ed77f687f4facd6d951d77906922770b4451
t6,mB30,p49152,ms200,ms300,ms200,t32,mB30,p16,ms150,ms150,ms140,b308a818368abdab95297be64bf36516df281c514322d94f2cb2d54a16c88908
t8,mB40,p32768,ms2000,ms300,ms80,t4,kB1000,p65536,ms350,ms2000,ms120,389eaf5c35b53e74ebd9647ee500b109055321e97fa7a47d2d90b12907c6e56d
t3,kB100,p49152,ms250,ms300,ms160,t2,mB8,p65536,ms2000,ms40,ms10,747587a60548d2fa6f9bf3137b51fccbd922f05cbae8dd6440fb1e1a91ef4a06
t8,mB20,p57344,ms4000,ms2000,ms160,t16,kB500,p4096,ms400,ms2400,ms170,1eee3f09d08ac98aa53831760871068c36ca9b2ac0819265659f2ace99722da1
